# Age	Deep_ocean_temp 	"(Scotese et al., ESR, 2021)"
637.1032052	4.4596109	
637.2881727	4.4735718	
637.3498285	4.4782228	
637.4114843	4.4828753	
637.4731401	4.4872112	
637.7731401	4.5100698	
638.0731401	4.5334597	
638.3731401	4.5568914	
638.6459174	4.5782914	
638.9186947	4.5998406	
639.191472	4.6214709	
639.4292164	4.6404352	
639.6669609	4.6593623	
639.9047053	4.6781034	
640.1424497	4.6966786	
640.3005548	4.7091746	
640.4586598	4.7215066	
640.6167649	4.7339621	
640.77487	4.7467527	
640.932975	4.7600694	
641.4599919	4.8010812	
641.8234053	4.8300223	
642.1868187	4.8591294	
642.5502321	4.8885231	
642.9136454	4.9185295	
643.2770588	4.9483519	
643.3134002	4.9513693	
643.3497415	4.9544039	
643.3860828	4.9574575	
643.4224242	4.960536	
643.4587655	4.9636464	
643.565692	4.9731436	
643.6726184	4.983036	
643.7795449	4.9931936	
643.8864714	5.0038939	
643.9933978	5.0167427	
644.3498194	5.0577574	
644.4173187	5.0653849	
644.484818	5.0728407	
644.5523173	5.0800695	
644.6198166	5.0870209	
644.6873159	5.0935407	
644.7402741	5.0983992	
644.7932323	5.1029739	
644.8461904	5.1072645	
644.8991486	5.1114998	
644.9773811	5.1158633	
645.0556136	5.1196198	
645.1338461	5.1234288	
645.2120785	5.1271019	
645.2871899	5.1308212	
645.3623012	5.1346722	
645.4374126	5.1388597	
645.4660588	5.1404562	
645.494705	5.1420512	
645.5233512	5.1440477	
645.6023763	5.1490946	
645.6814013	5.1545439	
645.7604263	5.1603813	
645.8394513	5.163682	
646.102868	5.1967449	
646.252527	5.2155523	
646.4021859	5.2342649	
646.5518448	5.2530851	
646.7015037	5.2722082	
646.8511626	5.2923956	
647.3500257	5.3532467	
647.6845185	5.3953876	
648.0190114	5.4380827	
648.3535043	5.481504	
648.6879972	5.52385	
648.7555724	5.53162	
648.8231476	5.5391507	
648.8907228	5.5463257	
648.958298	5.5532885	
649.0500301	5.5617933	
649.1417622	5.5703192	
649.2334943	5.5789309	
649.2715853	5.5825095	
649.3096764	5.5861163	
649.3477674	5.5896749	
649.4111279	5.5957079	
649.4744884	5.6018658	
649.537849	5.6084232	
649.566434	5.6114187	
649.5950191	5.6144524	
649.6236041	5.6171999	
649.6521892	5.6140437	
649.9196913	5.6504326	
650.1871934	5.6944962	
650.4546955	5.738687	
650.7221976	5.7850246	
650.9016471	5.8054829	
651.0810966	5.819828	
651.2605461	5.8341427	
651.3203626	5.8389173	
651.3801791	5.8436909	
651.4399956	5.8485913	
651.66018	5.8661733	
651.8803643	5.8832397	
652.1005487	5.89996	
652.2478921	5.9111948	
652.3952355	5.9223661	
652.5425788	5.9335375	
652.5916933	5.9372616	
652.6408078	5.9409847	
652.6899222	5.9447012	
652.7444939	5.9488263	
652.7990655	5.9529495	
652.8536371	5.9571075	
653.0355425	5.9707289	
653.0961777	5.9752693	
653.1568128	5.9798098	
653.2174479	5.9843521	
653.2848203	5.9893975	
653.3521927	5.994441	
653.4195651	5.9994869	
653.4944233	6.0050964	
653.5692814	6.0106993	
653.6441396	6.0163345	
653.8232901	6.0296254	
654.0024406	6.0426893	
654.1815911	6.0560589	
654.7787595	6.0998659	
654.9623253	6.1132393	
655.1458911	6.1266389	
655.3294569	6.1401229	
655.3906455	6.1446157	
655.4518341	6.1491251	
655.5130227	6.1536407	
655.58101	6.158679	
655.6489973	6.1637335	
655.7169847	6.1684217	
655.9436091	6.1861839	
656.2436091	6.2103548	
656.5436091	6.2337904	
656.8436091	6.2582617	
657.1436091	6.2827973	
658.1436091	6.3675661	
659.1436091	6.4553661	
659.3699196	6.4752426	
659.5962301	6.4952183	
659.8225406	6.515234	
660.0488511	6.5356226	
660.3488511	6.5622902	
660.6488511	6.5886288	
660.9488511	6.617413	
661.2488511	6.646668	
661.4500367	6.6663332	
661.6512223	6.6859565	
661.8524079	6.705554	
662.0535935	6.7253113	
662.7242122	6.7917633	
662.9942122	6.8184919	
663.2642122	6.8451748	
663.5342122	6.8714981	
663.5612122	6.8741283	
663.5882122	6.8767414	
663.6152122	6.8791904	
663.9152122	6.9086113	
664.2152122	6.9379921	
664.5152122	6.96802	
664.7168552	6.9883513	
664.9184981	7.0093222	
665.1201411	7.0307012	
665.1930411	7.0384436	
665.2659411	7.0461707	
665.3388411	7.0538802	
665.3631411	7.0564504	
665.3874411	7.0590243	
665.4117411	7.061554	
665.5017411	7.0710196	
665.5917411	7.0804529	
665.6817411	7.0898771	
665.7717411	7.0998287	
666.0717411	7.1290531	
666.2387701	7.1453342	
666.4057991	7.1615949	
666.5728281	7.1778064	
666.7398571	7.1939039	
667.2966204	7.2483087	
667.3866204	7.2570429	
667.4766204	7.2658033	
667.5666204	7.2738786	
667.9970313	7.3152466	
668.4274422	7.3567543	
668.8578531	7.398314	
669.288264	7.4396458	
669.3313051	7.4437399	
669.3743462	7.4478264	
669.4173873	7.4519029	
669.4604284	7.4559741	
669.5034695	7.4599934	
669.6059155	7.4695807	
669.7083615	7.4790711	
669.8108076	7.4884367	
669.9132536	7.4976053	
669.9605915	7.5017743	
670.0079295	7.5058608	
670.0552674	7.5099382	
670.1026054	7.5139923	
670.2249573	7.5244927	
670.3473093	7.5349803	
670.4696612	7.5459113	
670.5558116	7.5535746	
670.641962	7.5613308	
670.7281124	7.569119	
670.8142629	7.5758567	
671.1014309	7.6074867	
671.3885989	7.6389627	
671.6174032	7.6638694	
671.8462075	7.6885381	
672.0750119	7.7129011	
672.3038162	7.7378941	
673.0664973	7.8171973	
673.1427655	7.8249941	
673.2190336	7.8327603	
673.2953017	7.8404789	
673.3715698	7.8481078	
673.5639689	7.8674102	
673.756368	7.8865619	
673.948767	7.905015	
674.1411661	7.9229555	
674.3335652	7.9406428	
674.4597662	7.9521699	
674.5859672	7.9635725	
674.7121682	7.9749041	
674.8383691	7.9861097	
674.9652534	7.9967732	
675.0921376	8.0071926	
675.2190218	8.0175905	
675.345906	8.0279694	
675.4315547	8.0348244	
675.5172033	8.0415926	
675.602852	8.0482903	
675.6885007	8.0574284	
675.9739962	8.0713072	
676.0285421	8.0735226	
676.0830881	8.0757561	
676.137634	8.0780058	
676.1921799	8.0801811	
676.2467259	8.0818195	
676.4285456	8.0872736	
676.6103654	8.0934324	
676.7921852	8.1001177	
676.9740049	8.0959969	
677.123499	8.0906544	
677.272993	8.0856609	
677.4224871	8.0801439	
677.5719811	8.0735855	
677.7214752	8.0627508	
678.2197887	8.0549011	
678.5518164	8.0453453	
678.8838441	8.0341101	
679.2158718	8.0191784	
679.5478995	8.0031471	
679.6414519	8.00144	
679.7350042	8.0008135	
679.8285566	8.0008307	
679.9221089	8.0027924	
680.0156613	8.0091572	
680.3275024	7.9445186	
680.6393436	7.8785148	
680.9511847	7.8103852	
681.2630259	7.7379308	
681.4125033	7.7028418	
681.5619806	7.6635761	
681.711458	7.6251926	
681.8609353	7.5819974	
682.0104127	7.4967146	
682.5086706	7.2284279	
683.0069284	6.9314051	
