# Age (Ma)	ContArcLength (km)
199.5	21800
200	21800
200.5	21800
201	21800
201.5	21800
202	21800
202.5	21800
203	21800
203.5	21800
204	21800
204.5	21800
205	21800
205.5	21800
206	21800
206.5	21800
207	21800
207.5	21800
208	21800
208.5	21800
209	21800
209.5	21800
210	21800
210.5	21800
211	21800
211.5	21800
212	21800
212.5	21800
213	21800
213.5	21800
214	21800
214.5	21800
215	21800
215.5	21800
216	21800
216.5	21800
217	21800
217.5	21800
218	21800
218.5	21800
219	21800
219.5	21800
220	21800
220.5	21800
221	21800
221.5	21800
222	21800
222.5	21800
223	21800
223.5	21800
224	21800
224.5	21800
225	21800
225.5	21800
226	21800
226.5	21800
227	21800
227.5	21800
228	21800
228.5	22350
229	22900
229.5	22900
230	22900
230.5	22900
231	22900
231.5	22900
232	22900
232.5	22900
233	22900
233.5	22900
234	22900
234.5	22900
235	22900
235.5	22900
236	22900
236.5	22900
237	22900
237.5	22900
238	22900
238.5	26100
239	29300
239.5	29300
240	29300
240.5	29300
241	29300
241.5	29300
242	29300
242.5	29300
243	29300
243.5	29300
244	29300
244.5	29300
245	29300
245.5	29300
246	29300
246.5	29300
247	29300
247.5	29300
248	29300
248.5	23425
249	17550
249.5	17550
250	17550
